auctionNo;auctionUniqueId;organization;auctionId;auctionStart;auctionEnd;auctionName;auctionVal;comparativePrice;winnerOffer;currency;invitationsCount;registeredParticipantsCount;activeParticipantsCount;winner;auctionType;category;subcategory;itemsCount;offerChangesCount;extensionsCount;country;percentageReductionMinStep;savingComparison
3942;1197-8-611;8;611;25.10.2018 11:00;31.10.2018 10:00;Dostawa fabrycz;Celková nabídka účastníka;0;6879,24;PLN;17;24;24;405;poptavka;Stroje, zařízení, nástroje, nářadí;Nářadí a nástroje;4;70;0;;0,1;0
3943;636-1-2842;1;2842;24.10.2018 8:30;31.10.2018 10:00;Strojní svěrák ;Celková nabídka účastníka;0;36090,5;CZK;25;31;31;2397;poptavka;Stroje, zařízení, nástroje, nářadí;Nářadí a nástroje;1;167;0;Česká republika;0,1;0
3944;1197-8-600;8;600;22.10.2018 12:00;31.10.2018 10:26;Dostawa fabrycz;Multikriteriální hodnocení;0;1522,9;PLN;5;7;7;1256;ERMMA;Kancelář;Nábytek;1;38;3;;0,1;0
3945;198-116-5325;116;5325;23.10.2018 11:00;31.10.2018 10:30;Gufero, ložiska;Jednotlivé položky;11402,56;1224;CZK;29;19;19;4166;poptavka;Stroje, zařízení, nástroje, nářadí;Ložiska, gufera;4;110;0;Česká republika;0,1;0,892655684
3946;198-116-5326;116;5326;23.10.2018 11:30;31.10.2018 11:00;Stavební materi;Jednotlivé položky;8293,92;6751,2;CZK;53;11;11;6229;poptavka;Stavebnictví;Stavební materiály;2;36;0;Česká republika;0,1;0,186006135
3947;198-116-5330;116;5330;23.10.2018 12:00;31.10.2018 11:30;Ředidlo, lepidl;Jednotlivé položky;1605,76;1494,36;CZK;31;9;9;3983;poptavka;Chemie;Barvy, ředidla a laky;2;146;0;Česká republika;0,1;0,069375249
3948;198-116-5331;116;5331;23.10.2018 12:00;31.10.2018 11:30;Těsnění;Jednotlivé položky;14162;13007,7;CZK;27;10;10;4152;poptavka;Stroje, zařízení, nástroje, nářadí;Těsnění, ventily;3;76;0;Česká republika;0,1;0,081506849
3949;100-45-1425;45;1425;22.10.2018 10:00;31.10.2018 11:43;Doprava 2019 (S;Celková nabídka účastníka;989922,0032;1034785,92;EUR;16;48;48;4206;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;76;1480;202;Česká republika;0;-0,045320658
3950;1197-8-609;8;609;24.10.2018 12:00;31.10.2018 13:20;Dostawa fabrycz;Multikriteriální hodnocení;0;9373,44;PLN;15;31;31;263;ERMMA;Chemie;Laboratorní vybavení, příslušenství, nábytek a přístroje;1;482;0;;0,1;0
3951;100-45-1426;45;1426;22.10.2018 10:00;31.10.2018 13:30;Doprava 2019 (S;Celková nabídka účastníka;564106,0225;527568,5635;EUR;12;25;25;6330;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;99;1885;39;Česká republika;0;0,064770553
3952;1453-28-979;28;979;22.10.2018 12:00;31.10.2018 14:00;Úklid stavby Mo;Celková nabídka účastníka;0;52235,172;CZK;13;8;8;2804;poptavka;Úklid, úklidové služby;Úklidové služby;1;108;0;;0,1;0
3953;1474-28-979;28;979;22.10.2018 12:00;31.10.2018 14:00;Úklid stavby Mo;Celková nabídka účastníka;0;54345,684;CZK;10;8;8;2804;poptavka;Úklid, úklidové služby;Úklidové služby;1;108;0;;0,1;0
3954;1465-19-1008;19;1008;31.10.2018 13:22;31.10.2018 14:37;export taxi 809;Jednotlivé položky;0;441;EUR;20;16;16;1799;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;57;5;;0;0
3955;1474-19-1008;19;1008;31.10.2018 13:22;31.10.2018 14:37;export taxi 809;Jednotlivé položky;0;441;EUR;24;16;16;1799;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;57;5;;0;0
3956;1453-28-978;28;978;22.10.2018 8:00;31.10.2018 15:00;Podlaha, SOŠ a ;Celková nabídka účastníka;0;81654,6;CZK;15;3;3;2782;poptavka;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;1;8;0;;0,1;0
3957;1474-28-978;28;978;22.10.2018 8:00;31.10.2018 15:00;Podlaha, SOŠ a ;Celková nabídka účastníka;0;83338,2;CZK;14;3;3;2782;poptavka;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;1;8;0;;0,1;0
3958;344-121-3595;121;3595;16.10.2018 16:00;31.10.2018 15:00;Oprava jeřábové;Skupiny položek;0;20858250;CZK;2;19;19;7227;poptavka;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;3;124;0;Česká republika;0,1;0
3959;198-116-5313;116;5313;16.10.2018 14:00;31.10.2018 16:00;Náhradní díly R;Jednotlivé položky;38330;42359,4;CZK;3;5;5;3956;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;1;30;0;Česká republika;0,1;-0,105123924
3960;1120-36-2475;36;2475;31.10.2018 12:51;31.10.2018 17:51;plechy-31.10.20;Jednotlivé položky;0;885,528;EUR;11;31;31;9683;poptavka;Hutní materiál, kovy a slitiny;Plechy;11;115;0;;0,1;0
3961;148-88-5510;88;5510;31.10.2018 8:00;31.10.2018 18:00;Tyče HEB, HEA (;Jednotlivé položky;0;17107,2;CZK;8;12;12;6704;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;3;22;0;Česká republika;0,1;0
3962;1105-60-2724;60;2724;31.10.2018 10:45;1.11.2018 8:00;Silniční doprav;Celková nabídka účastníka;0;24240;CZK;35;21;21;8956;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;39;0;;0;0
3963;106-95-6044;95;6044;24.10.2018 9:00;1.11.2018 8:00;Vypracovanie pr;Celková nabídka účastníka;0;18450;EUR;3;9;9;10120;ERMMA;Inženýrská činnost;Projektová a schvalovací dokumentace ke stavební činnosti;1;13;0;Slovenská republika;0,1;0
3964;148-88-5512;88;5512;31.10.2018 9:38;1.11.2018 9:00;"Kari sítě 8/8; ";Celková nabídka účastníka;0;103053,6;CZK;7;10;10;5130;poptavka;Stavebnictví;Stavební materiály;1;61;0;Česká republika;0,1;0
3965;154-52-6947;52;6947;30.10.2018 10:00;1.11.2018 10:00;Přeprava: Skawi;Celková nabídka účastníka;0;210;EUR;52;10;10;4683;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;12;0;;0;0
3966;198-116-5338;116;5338;23.10.2018 13:30;1.11.2018 10:00;Náhradní díly- ;Jednotlivé položky;20748;21335,85;CZK;23;14;14;4002;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;1;135;0;Česká republika;0,1;-0,028332851
3967;80-1-3250;1;3250;25.10.2018 14:00;1.11.2018 10:15;Kyselina solná ;Celková nabídka účastníka;0;18432;CZK;10;43;43;495;ERMMA;Chemie;Chemické látky;1;827;0;Česká republika;0,1;0
3968;22-83-1845;83;1845;31.10.2018 8:00;1.11.2018 10:21;Elektromateriál;Celková nabídka účastníka;0;152955;CZK;3;10;10;3923;ERMMA;Elektro, elektromateriál;Vodiče, rozvaděče a kabely;1;35;11;Česká republika;0,1;0
3969;198-114-5347;114;5347;29.10.2018 10:00;1.11.2018 10:30;Nákup Dowanolu ;Celková nabídka účastníka;147042;147139,2;CZK;1;8;8;4615;ERMMA;Chemie;Chemické látky;1;69;0;Česká republika;0,5;-0,000661036
3970;154-52-6949;52;6949;31.10.2018 9:00;1.11.2018 11:00;Poptávka přepra;Celková nabídka účastníka;0;146,45;EUR;52;19;19;2754;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;110;0;Česká republika;0;0
3971;198-114-5348;114;5348;29.10.2018 10:30;1.11.2018 11:06;Nákup Ethylacet;Celková nabídka účastníka;82690,56;73803,6;EUR;3;7;7;4613;ERMMA;Chemie;Chemické látky;1;24;3;Česká republika;0,1;0,107472485
3972;1105-60-2723;60;2723;31.10.2018 9:40;1.11.2018 12:00;Silniční doprav;Celková nabídka účastníka;0;17472;CZK;34;28;28;10081;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;68;0;;0;0
3973;1105-60-2719;60;2719;30.10.2018 9:00;1.11.2018 12:00;Nástroje pro ob;Jednotlivé položky;65104,578;3731,69;CZK;38;31;31;5939;poptavka;Stroje, zařízení, nástroje, nářadí;Nářadí a nástroje;10;204;0;;0,1;0,942681604
3974;198-116-5337;116;5337;23.10.2018 13:30;1.11.2018 12:30;Náhradní díly T;Jednotlivé položky;25646,4;25887,6;CZK;-1;6;6;3945;poptavka;Stroje, zařízení, nástroje, nářadí;Náhradní díly;1;20;0;Česká republika;0,1;-0,009404829
3975;198-116-5328;116;5328;23.10.2018 11:30;1.11.2018 13:00;kohouty,šoupátk;Jednotlivé položky;81113,55;2132,52;CZK;38;15;15;4185;poptavka;Hutní materiál, kovy a slitiny;Roury, armatury a trubky;7;74;0;Česká republika;0,1;0,973709448
3976;87-62-2446;62;2446;1.11.2018 8:00;2.11.2018 8:10;Zemiaky   ;Celková nabídka účastníka;1632;1406;EUR;5;19;19;2084;ERMMA;Potraviny a nápoje;Ovoce a zelenina;1;82;0;Slovenská Republika;0;0,138480392
3977;1120-36-2479;36;2479;1.11.2018 15:11;2.11.2018 9:11;Profily 01.11.2;Multikriteriální hodnocení;0;1728,55584;EUR;15;30;30;9365;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;9;251;0;;0,1;0
3978;148-88-5511;88;5511;31.10.2018 8:30;2.11.2018 9:35;Drát trubičkový;Celková nabídka účastníka;148697,12;149801,28;CZK;7;13;13;6695;ERMMA;Stroje, zařízení, nástroje, nářadí;Svařovací materiály a služby;1;74;10;Česká republika;0,3;-0,007425564
3979;344-121-3599;121;3599;30.10.2018 11:00;2.11.2018 9:59;Průmyslové PC;Multikriteriální hodnocení;3645056,7;1881306;CZK;6;17;17;475219;ERMMA;Počítače, IT a telekomunikační služby;Hardware a příslušenství;1;145;22;Česká republika;0;0,483874695
3980;148-88-5515;88;5515;1.11.2018 13:30;2.11.2018 10:00;El. materiál - ;Celková nabídka účastníka;0;34665;CZK;8;15;15;6593;poptavka;Elektro, elektromateriál;Izolátory a ostatní elektromateriál;5;172;0;Česká republika;0,1;0
3981;154-52-6948;52;6948;30.10.2018 11:00;2.11.2018 10:00;Přeprava: Skawi;Celková nabídka účastníka;0;470,25;EUR;52;5;5;2751;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;6;0;;0;0
3982;106-77-6041;77;6041;22.10.2018 10:00;2.11.2018 10:00;Stolárske výrob;Celková nabídka účastníka;39044,772;43036,448;EUR;2;4;4;10118;ERMMA;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;1;7;0;Slovenská republika;0,1;-0,102233303
3983;1120-36-2476;36;2476;31.10.2018 13:40;2.11.2018 10:10;Profily 31.10.2;Multikriteriální hodnocení;0;32148,09888;EUR;13;23;23;9236;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;8;118;0;;0,1;0
3984;1445-36-986;36;986;25.10.2018 10:00;2.11.2018 10:22;Palety;Celková nabídka účastníka;986290;883971;CZK;12;13;13;2841;ERMMA;Obaly;Dřevěné obaly a palety;4;1157;1;;0,1;0,103741293
3985;1474-36-986;36;986;25.10.2018 10:00;2.11.2018 10:22;Palety;Celková nabídka účastníka;1017436;848255;CZK;14;13;13;2841;ERMMA;Obaly;Dřevěné obaly a palety;4;1157;1;;0,1;0,166281712
3986;35-124-1115;124;1115;29.10.2018 10:00;2.11.2018 10:30;Foil PET12/PETH;Celková nabídka účastníka;122608;124645;EUR;2;8;8;4568;ERMMA;Obaly;Plastové obaly a fólie;2;101;0;CZ;0;-0,016613924
3987;346-40-519;40;519;29.10.2018 13:00;2.11.2018 10:48;Dřevo a dřevěné;Jednotlivé položky;0;2374710;CZK;8;25;25;3707;ERMMA;Obaly;Dřevěné obaly a palety;22;1463;14;;0,1;0
3988;509-35-1044;35;1044;26.10.2018 10:00;2.11.2018 11:00;Profily, přírub;Celková nabídka účastníka;0;65069,376;CZK;9;5;5;2822;poptavka;Hutní materiál, kovy a slitiny;Příruby, kolena;23;397;0;Česká republika;0,5;0
3989;106-93-6048;93;6048;25.10.2018 10:00;2.11.2018 11:00;Kancelársky náb;Multikriteriální hodnocení;18000;21463,308;EUR;1;4;4;9129;ERMMA;Kancelář;Nábytek;1;6;0;Slovenská republika;0,1;-0,192406
3990;198-116-5323;116;5323;22.10.2018 12:00;2.11.2018 11:00;HYDROXID SODNÝ ;Jednotlivé položky;33022,5;14913,75;EUR;6;11;11;3888;poptavka;Chemie;Chemické látky;2;40;0;Česká republika;0,1;0,548376107
3991;148-88-5513;88;5513;1.11.2018 7:00;2.11.2018 12:00;POBJ  42759;Celková nabídka účastníka;0;42334,12;CZK;7;9;9;6711;poptavka;Hutní materiál, kovy a slitiny;Roury, armatury a trubky;9;89;0;Česká republika;0,1;0
3992;198-116-5329;116;5329;23.10.2018 11:30;2.11.2018 12:00;Náhradní díly k;Jednotlivé položky;4772,4;4772,4;CZK;33;16;16;4297;poptavka;Stroje, zařízení, nástroje, nářadí;Čerpadla a kompresory;1;22;0;Česká republika;0,1;0
3993;162-1-9395;1;9395;24.10.2018 12:30;2.11.2018 12:30;Vypracovanie pr;Celková nabídka účastníka;0;23050;EUR;4;1;1;2964;poptavka;Inženýrská činnost;Projektová a schvalovací dokumentace ke stavební činnosti;1;1;0;Slovenská republika;0,1;0
3994;154-52-6950;52;6950;2.11.2018 9:00;2.11.2018 13:00;Borken (46325) ;Celková nabídka účastníka;0;110;EUR;52;12;12;4721;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;23;0;;0;0
3995;636-1-2850;1;2850;30.10.2018 14:00;2.11.2018 13:30;Defibrilátor LI;Celková nabídka účastníka;0;45144,75;CZK;10;39;39;120;poptavka;Zdravotnictví;Zdravotnický materiál;2;695;0;Česká republika;0,1;0
3996;1465-19-1012;19;1012;2.11.2018 11:00;2.11.2018 13:35;export do BMW A;Jednotlivé položky;0;260;EUR;23;10;10;1705;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;17;2;;0;0
3997;1474-19-1012;19;1012;2.11.2018 11:00;2.11.2018 13:35;export do BMW A;Jednotlivé položky;0;245;EUR;22;10;10;1705;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;17;2;;0;0
3998;1105-60-2703;60;2703;19.10.2018 12:30;2.11.2018 14:30;Kompletní výrob;Celková nabídka účastníka;0;189620;CZK;21;13;13;6256;poptavka;Stroje, zařízení, nástroje, nářadí;Nářadí a nástroje;1;48;0;;0,1;0
3999;198-116-5341;116;5341;24.10.2018 9:00;2.11.2018 15:00;Elektromateriál;Jednotlivé položky;377,28;175,152;CZK;38;13;13;4239;poptavka;Elektro, elektromateriál;Batérie, akumulátory, generátory a elektromotory;2;46;0;Česká republika;0,1;0,535750636
4000;198-116-5334;116;5334;23.10.2018 13:00;2.11.2018 15:00;Náhradní díly k;Jednotlivé položky;5603,052;1214,72;CZK;41;10;10;4522;poptavka;Stroje, zařízení, nástroje, nářadí;Čerpadla a kompresory;2;15;0;Česká republika;0,1;0,783203868
4001;198-116-5333;116;5333;23.10.2018 12:30;2.11.2018 15:00;Náhradní díly č;Jednotlivé položky;0;23238,864;CZK;43;13;13;4675;poptavka;Stroje, zařízení, nástroje, nářadí;Čerpadla a kompresory;1;27;0;Česká republika;0,1;0
4002;1120-36-2478;36;2478;1.11.2018 11:51;2.11.2018 23:51;Plechy-1.11.201;Jednotlivé položky;0;22808,448;EUR;9;31;31;9814;poptavka;Hutní materiál, kovy a slitiny;Plechy;13;227;0;;0,1;0
4003;84-74-2828;74;2828;2.10.2018 11:44;5.11.2018 8:00;Technologická d;Celková nabídka účastníka;0;6897450;CZK;9;28;28;6073;poptavka;Dopravní služby, auto-moto a příslušenství;Nákladní automobily;4;62;0;Česká republika;0,1;0
4004;1120-36-2480;36;2480;2.11.2018 10:03;5.11.2018 9:03;Profily 02.11.2;Multikriteriální hodnocení;0;0;EUR;12;29;29;0;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;11;90;0;;0,1;0
4005;162-1-9420;1;9420;26.10.2018 7:00;5.11.2018 9:25;ND na osobné vo;Jednotlivé položky;10028,2;1795,5;EUR;8;6;6;58;ERMMA;Dopravní služby, auto-moto a příslušenství;Servis, opravy, náhradní díly a příslušenství;2;15;0;Slovenská republika;0,1;0,820954907
4006;107-84-821;84;821;29.10.2018 12:00;5.11.2018 9:48;Propagačný mate;Celková nabídka účastníka;10369,3485;7242,2;EUR;4;25;25;2795;ERMMA;Marketing, reklama a tisk;Reklamní činnost, reklamní předměty;1;382;14;Slovenská republika;0;0,301576179
4007;1105-60-2727;60;2727;2.11.2018 14:15;5.11.2018 10:00;Silniční doprav;Celková nabídka účastníka;6305;4892,5;CZK;37;26;26;9535;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;92;0;;0;0,224028549
4008;291-107-3837;107;3837;2.11.2018 8:30;5.11.2018 10:00;Kované T-KUSY -;Jednotlivé položky;29792;28469,2;EUR;6;10;10;5425;ERMMA;Stroje, zařízení, nástroje, nářadí;Náhradní díly;3;347;10;Slovenská republika;0,5;0,044401182
4009;162-1-9418;1;9418;26.10.2018 10:00;5.11.2018 10:00;Oko káblové KM ;Celková nabídka účastníka;201,6;194;EUR;7;2;2;2473;poptavka;Dopravní služby, auto-moto a příslušenství;Železniční doprava;1;3;0;Slovenská republika;0,1;0,037698413
4010;106-91-6047;91;6047;25.10.2018 8:30;5.11.2018 10:00;Zníženie a zate;Celková nabídka účastníka;3705;3838,1508;EUR;5;13;13;7141;ERMMA;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;1;41;0;Slovenská republika;0,1;-0,035938138
4011;585-1-3527;1;3527;26.10.2018 11:00;5.11.2018 10:20;Odstránenie sta;Celková nabídka účastníka;9471,294;8839,404;EUR;1;9;9;3066;ERMMA;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;1;37;0;Slovenská republika;0,5;0,066716333
4012;636-1-2848;1;2848;30.10.2018 12:30;5.11.2018 10:48;Zdroje světla;Celková nabídka účastníka;0;82045,6;CZK;9;23;23;61;poptavka;Elektro, elektromateriál;Osvětlení;10;270;9;Česká republika;0,1;0
4013;162-1-9410;1;9410;23.10.2018 9:00;5.11.2018 11:00;;Jednotlivé položky;0;161,02;EUR;9;4;4;64;poptavka;Dopravní služby, auto-moto a příslušenství;Železniční doprava;2;10;0;Slovenská republika;0,1;0
4014;291-107-3838;107;3838;2.11.2018 9:00;5.11.2018 11:45;POSÚVAČ DN200 P;Celková nabídka účastníka;39900;30184;EUR;6;8;8;7475;ERMMA;Stroje, zařízení, nástroje, nářadí;Těsnění, ventily;1;56;25;Slovenská republika;0,5;0,243508772
4015;162-1-9422;1;9422;29.10.2018 6:30;5.11.2018 13:00;Páska plsť.biel;Celková nabídka účastníka;793,8;623,7;EUR;7;4;4;1332;poptavka;Dopravní služby, auto-moto a příslušenství;Železniční doprava;1;4;0;Slovenská republika;0,1;0,214285714
4016;1197-8-597;8;597;19.10.2018 10:30;5.11.2018 13:20;Dostawa mebli b;Multikriteriální hodnocení;0;127005,18;PLN;11;6;6;335;ERMMA;Kancelář;Nábytek;1;20;0;;0,1;0
4017;585-1-3523;1;3523;24.10.2018 17:00;5.11.2018 14:20;Centra spoločné;Celková nabídka účastníka;57422,12;57036;EUR;2;12;12;3708;ERMMA;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;1;25;0;Slovenská republika;0,5;0,006724238
4018;1465-19-1013;19;1013;5.11.2018 13:30;5.11.2018 14:25;export taxi 809;Jednotlivé položky;0;373,7;EUR;20;15;15;1726;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;274;0;;0;0
4019;1474-19-1013;19;1013;5.11.2018 13:30;5.11.2018 14:25;export taxi 809;Jednotlivé položky;0;381,1;EUR;23;15;15;1726;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;274;0;;0;0
4020;1120-36-2481;36;2481;5.11.2018 11:42;5.11.2018 16:42;plechy-5.11.201;Jednotlivé položky;0;1171,1;EUR;10;29;29;9392;poptavka;Hutní materiál, kovy a slitiny;Plechy;10;237;0;;0,1;0
4021;1129-105-2767;105;2767;31.8.2018 10:00;6.11.2018 7:26;Dozateplení a o;Multikriteriální hodnocení;0;2088928,4;CZK;3;30;30;10192;poptavka;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;4;89;0;;0;0
4022;1129-105-2768;105;2768;31.8.2018 10:00;6.11.2018 7:28;Dozateplení a o;Multikriteriální hodnocení;0;2249600;CZK;3;27;27;10192;poptavka;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;4;88;0;;0;0
4023;162-1-9424;1;9424;29.10.2018 9:30;6.11.2018 8:30;Náhradné diely ;Jednotlivé položky;0;75,6;EUR;13;2;2;94;poptavka;Dopravní služby, auto-moto a příslušenství;Železniční doprava;3;2;0;Slovenská republika;0,1;0
4024;84-74-2830;74;2830;4.10.2018 11:19;6.11.2018 8:30;Oprava vozíkové;Celková nabídka účastníka;0;40012,41;CZK;5;31;31;5493;poptavka;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;4;102;0;Česká republika;0,1;0
4025;1423-2-466;2;466;30.10.2018 13:30;6.11.2018 9:00;Kompleksowa rea;Celková nabídka účastníka;0;323079,273;PLN;8;16;16;1716;poptavka;Stavebnictví;Dopravní stavby;1;46;0;;0,1;0
4026;291-107-3839;107;3839;2.11.2018 10:30;6.11.2018 9:20;Odstredivé čerp;Celková nabídka účastníka;2741,76;2941,68;EUR;0;5;5;7476;ERMMA;Stroje, zařízení, nástroje, nářadí;Čerpadla a kompresory;1;59;0;Slovenská republika;0,5;-0,072916667
4027;1423-2-465;2;465;29.10.2018 11:30;6.11.2018 9:30;Dostawa samocho;Celková nabídka účastníka;0;73133,0045;PLN;7;18;18;1714;poptavka;Dopravní služby, auto-moto a příslušenství;Osobní automobily;1;518;0;;0,1;0
4028;1120-36-2482;36;2482;5.11.2018 13:54;6.11.2018 9:54;Profily 05.11.2;Multikriteriální hodnocení;0;0;EUR;12;39;39;0;poptavka;Hutní materiál, kovy a slitiny;Tyče a dráty;13;363;0;;0,1;0
4029;154-52-6952;52;6952;5.11.2018 10:30;6.11.2018 10:00;Poptávka přepra;Celková nabídka účastníka;0;113,3;EUR;49;9;9;4721;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;39;0;Česká republika;0;0
4030;1105-60-2726;60;2726;2.11.2018 10:45;6.11.2018 10:00;Plech a kruhová;Jednotlivé položky;0;39473,568;CZK;42;20;20;5163;poptavka;Hutní materiál, kovy a slitiny;Plechy;2;31;0;;0;0
4031;636-1-2853;1;2853;31.10.2018 14:00;6.11.2018 10:02;Ložisko soud.2ř;Celková nabídka účastníka;0;10114,6;CZK;20;33;33;2187;poptavka;Stroje, zařízení, nástroje, nářadí;Ložiska, gufera;1;116;1;Česká republika;0,1;0
4032;346-41-518;41;518;30.10.2018 8:00;6.11.2018 10:02;Ložiska;Jednotlivé položky;383166,4408;5700;EUR;7;16;16;3717;ERMMA;Stroje, zařízení, nástroje, nářadí;Ložiska, gufera;13;108;1;;0,1;0,985123958
4033;162-1-9412;1;9412;24.10.2018 10:00;6.11.2018 10:11;ND ŽKV  Vodojem;Celková nabídka účastníka;0;2406,996;EUR;7;2;2;168;ERMMA;Dopravní služby, auto-moto a příslušenství;Železniční doprava;1;60;21;Slovenská republika;0,1;0
4034;1144-30-2997;30;2997;23.10.2018 12:00;6.11.2018 10:18;Strešné autobus;Celková nabídka účastníka;0;389844;EUR;14;26;26;14129;ERMMA;Stroje, zařízení, nástroje, nářadí;Vzduchotechnika, klimatizace;9;149;2;;0,1;0
4035;1104-50-1911;50;1911;2.11.2018 13:00;6.11.2018 10:35;Tender 141I all;Multikriteriální hodnocení;325480;264600;EUR;3;5;5;5133;ERMMA;Hutní materiál, kovy a slitiny;Kovy, slitiny, nerez a odlitky;1;68;12;;0,1;0,187046823
4036;282-28-1486;28;1486;26.10.2018 11:00;6.11.2018 10:45;E/79/UW/2018 Za;Celková nabídka účastníka;121200;116503,38;PLN;3;9;9;4706;ERMMA;Chemie;Chemické pomůcky;1;131;0;Polska;0,1;0,03875099
4037;162-1-9423;1;9423;26.10.2018 13:55;6.11.2018 11:00;Náhradné diely ;Jednotlivé položky;1816,0263;233,48;EUR;12;6;6;873;poptavka;Dopravní služby, auto-moto a příslušenství;Železniční doprava;3;15;0;Slovenská republika;0,1;0,87143358
4038;162-1-9425;1;9425;29.10.2018 12:30;6.11.2018 12:25;Prístroje el. a;Jednotlivé položky;4672,008;4397,12;EUR;12;2;2;92;ERMMA;Stroje, zařízení, nástroje, nářadí;Náhradní díly;3;15;0;Slovenská republika;0,1;0,058837228
4039;636-3-2822;3;2822;17.10.2018 8:00;6.11.2018 12:52;Těžba, převoz a;Celková nabídka účastníka;0;55931200;CZK;12;21;21;1257;poptavka;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;3;318;26;Česká republika;0,1;0
4040;1465-19-1014;19;1014;6.11.2018 9:55;6.11.2018 13:15;export z 99444 ;Jednotlivé položky;0;833;EUR;21;14;14;1713;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;172;0;;0;0
4041;1474-19-1014;19;1014;6.11.2018 9:55;6.11.2018 13:15;export z 99444 ;Jednotlivé položky;0;884;EUR;23;14;14;1713;ERMMA;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;172;0;;0;0
4042;91-17-385;17;385;29.10.2018 9:00;6.11.2018 13:17;Rekonstrukce pl;Jednotlivé položky;0;8710800;CZK;3;10;10;3867;ERMMA;Stavebnictví;Stavební práce, rekonstrukce a revitalizace;4;49;1;Česká republika;0,1;0
4043;162-1-9416;1;9416;29.10.2018 13:35;6.11.2018 13:35;;Jednotlivé položky;0;195,52;EUR;10;4;4;6011;poptavka;Dopravní služby, auto-moto a příslušenství;Železniční doprava;2;14;0;Slovenská republika;0,1;0
4044;1197-8-607;8;607;24.10.2018 11:00;6.11.2018 13:38;Dostawa fabrycz;Multikriteriální hodnocení;0;9002,07;PLN;9;16;16;272;ERMMA;Kancelář;Kancelářský tisk a tisková řešení;5;212;9;;0,1;0
4045;84-74-2796;74;2796;14.9.2018 14:52;7.11.2018 7:26;Oprava hydrauli;Celková nabídka účastníka;0;0;CZK;3;19;19;0;poptavka;Stroje, zařízení, nástroje, nářadí;Hydraulické přístroje, nařadí a příslušenství;4;158;0;Česká republika;0,1;0
4046;84-74-2833;74;2833;19.10.2018 13:57;7.11.2018 8:30;Oprava vozíkové;Celková nabídka účastníka;0;153825;CZK;5;30;30;5490;poptavka;Stroje, zařízení, nástroje, nářadí;Opravy a údržba;1;74;0;Česká republika;0,1;0
4047;1105-60-2731;60;2731;6.11.2018 9:30;7.11.2018 9:00;Silniční doprav;Celková nabídka účastníka;0;7878;CZK;36;19;19;10081;poptavka;Dopravní služby, auto-moto a příslušenství;Silniční přeprava;1;57;0;;0;0
4048;585-1-3525;1;3525;31.10.2018 8:00;7.11.2018 9:20;Zabezpečenie se;Celková nabídka účastníka;49,92;34,2;EUR;3;10;10;561;ERMMA;Počítače, IT a telekomunikační služby;Software a informační systémy;1;21;0;Slovenská republika;0,5;0,314903846
4049;80-2-3231;2;3231;23.10.2018 8:00;7.11.2018 9:20;Regulační armat;Celková nabídka účastníka;749021,13;718992;CZK;3;20;20;7069;ERMMA;Stroje, zařízení, nástroje, nářadí;Náhradní díly;1;101;0;Česká republika;0;0,040091165
